"Word","Frequency"
"birthplac","1"
"biscay","1"
"bit","1"
"bitter","7"
"bitterest","1"
"black","7"
"blacken","3"
"blackey","2"
"blame","1"
"blanc","1"
"blanch","1"
"bland","1"
"blasphemi","1"
"blast","10"
"blaze","4"
"blazon","3"
"bleach","1"
"bleak","6"
"bled","3"
"bleed","14"
"blend","9"
"blent","1"
"bless","9"
"blest","9"
"blew","2"
"blight","10"
"blind","8"
"bliss","2"
"blith","1"
"bloat","2"
"block","2"
"blood","35"
"bloodi","9"
"bloodier","1"
"bloodiest","1"
"bloodless","2"
"bloodr","1"
"bloom","6"
"blossom","3"
"blot","1"
"blow","6"
"blown","1"
"blue","22"
"bluest","1"
"blunt","2"
"blush","9"
"board","2"
"boast","11"
"boat","1"
"boatswain","1"
"boccaccio","1"
"bodi","2"
"bodiless","1"
"boeotian","1"
"boil","2"
"boileau","1"
"bold","4"
"boldest","1"
"bolt","4"
"bond","2"
"bondag","4"
"bondsman","1"
"bondsmen","2"
"bone","8"
"boni","1"
"boon","2"
"boot","1"
"border","1"
"bore","9"
"born","21"
"bosom","24"
"bosphorus","1"
"both","8"
"bough","1"
"bound","15"
"boundari","1"
"boundless","5"
"bounti","1"
"bow","15"
"bower","4"
"bowl","2"
"boy","8"
"boyhood","2"
"boyish","2"
"braid","2"
"brain","8"
"brake","1"
"branch","4"
"brand","2"
"brass","1"
"brast","1"
"brave","11"
"bravest","1"
"bravo","1"
"brawl","1"
"brazen","1"
"break","13"
"breaker","4"
"breast","37"
"breath","34"
"breathless","2"
"bred","1"
"breez","10"
"brenta","1"
"brentford","1"
"brethren","2"
"bridal","1"
"bride","3"
"bridg","1"
"bridled","1"
"brief","3"
"bright","20"
"brighter","3"
"brightest","2"
"brilliant","2"
"brim","2"
"brine","3"
"bring","10"
"brink","1"
"brisk","2"
"bristl","1"
"britannia","2"
"british","3"
"briton","1"
"broad","4"
"broke","4"
"broken","16"
"brood","3"
"brook","6"
"brother","2"
"brought","2"
"brow","23"
"brown","2"
"browseth","1"
"bruit","1"
"brunswick","1"
"brunt","1"
"brutal","1"
"brute","1"
"brutus","2"
"bubbl","6"
"bucentaur","1"
"buckler","1"
"bud","3"
"build","4"
"built","5"
"bull","3"
"bulwark","1"
"burgundi","1"
"buri","6"
"burial","1"
"burn","8"
"burst","4"
"busi","6"
"bust","6"
"bustl","1"
"but","334"
"butcher","2"
"buy","1"
"buzz","2"
"by","135"
"byword","1"
"byzantium","1"
"cabin","1"
"cadiz","3"
"caesar","7"
"cage","1"
"cain","2"
"caiqu","1"
"caledonia","1"
"call","18"
"callsawak","1"
"calm","10"
"caloy","1"
"calp","2"
"calumni","1"
"calypso","2"
"came","11"
"camel","1"
"cameron","1"
"cames","1"
"camp","2"
"can","67"
"candia","1"
"canna","1"
"cannon","2"
"cannot","11"
"canopi","4"
"canova","1"
"canva","1"
"cap","3"
"caparison","1"
"cape","3"
"capit","3"
"capitol","1"
"capot","2"
"capric","1"
"capt","1"
"captiv","5"
"car","5"
"care","8"
"career","4"
"caress","1"
"careth","1"
"carl","1"
"carnag","2"
"carnal","2"
"carniv","1"
"carol","3"
"carthag","1"
"carthaginian","2"
"cast","9"
"castanet","1"
"castl","2"
"cataract","3"
"catch","1"
"caught","6"
"caus","6"
"caution","1"
"cautious","1"
"cava","1"
"cavali","1"
"cave","13"
"cavern","1"
"ceas","15"
"ceaseless","4"
"celesti","3"
"cell","6"
"cement","1"
"centr","4"
"central","1"
"centuri","1"
"certain","1"
"chain","14"
"chair","2"
"chaldean","1"
"chamber","4"
"champ","1"
"champion","5"
"chanc","3"
"chang","20"
"channel","1"
"chant","2"
"chao","2"
"charact","1"
"charg","1"
"charger","1"
"chariot","2"
"chariti","1"
"charl","1"
"charm","18"
"chart","1"
"charter","1"
"chase","6"
"chasm","1"
"chast","2"
"chastelyaw","1"
"chasten","2"
"chastis","1"
"cheat","1"
"check","5"
"cheek","11"
"cheer","10"
"cherish","4"
"cherubhydra","1"
"chest","1"
"chief","22"
"chiefest","1"
"chiefless","1"
"chiefli","1"
"chieftain","5"
"child","27"
"childhood","1"
"childless","1"
"children","10"
"chill","2"
"chimari","2"
"chimariot","1"
"chimera","1"
"chin","1"
"china","1"
"chirp","1"
"chivalr","1"
"chivalri","5"
"choic","1"
"choir","1"
"choke","3"
"choos","3"
"chop","1"
"choral","1"
"chose","2"
"christ","2"
"christian","4"
"church","2"
"churchman","1"
"churl","1"
"cicero","1"
"cintra","3"
"circl","10"
"circumambi","1"
"circumcis","1"
"circumfus","1"
"circumscrib","1"
"circumscribeth","1"
"circumst","1"
"circus","2"
"citadel","1"
"citi","20"
"citizen","2"
"civic","1"
"civil","1"
"claim","17"
"clan","1"
"clang","1"
"clank","2"
"clansman","1"
"clap","1"
"claren","3"
"clarion","2"
"clasp","2"
"class","3"
"classic","2"
"clatter","1"
"claus","1"
"clay","14"
"clean","2"
"clear","15"
"clearer","2"
"cleav","3"
"cleft","2"
"clench","1"
"cleopatra","1"
"cliff","6"
"climb","8"
"clime","15"
"cling","6"
"clipt","1"
"clitumnus","1"
"cloak","3"
"close","9"
"closest","1"
"cloth","2"
"cloud","21"
"cloudi","3"
"cloy","2"
"clung","1"
"clutch","1"
"coach","1"
"coalblack","1"
"coast","9"
"coblentz","1"
"coeval","1"
"coffin","1"
"coil","3"
"coin","1"
"cold","17"
"coliseum","3"
"collar","1"
"collect","1"
"colonna","1"
"coloss","4"
"colour","9"
"columbia","2"
"column","10"
"columnscatt","1"
"combat","2"
"combin","4"
"come","32"
"comebut","1"
"comedi","1"
"cometh","2"
"comfort","1"
"command","5"
"commemor","1"
"commerc","1"
"commingl","1"
"common","6"
"commonwealth","1"
"communion","1"
"compani","1"
"companionship","1"
"compar","2"
"compass","4"
"compeer","1"
"compel","2"
"complac","1"
"complain","3"
"complexion","1"
"compos","1"
"comprehend","1"
"comput","1"
"conceal","3"
"conceiv","3"
"concent","1"
"concept","2"
"concert","2"
"conclud","1"
"concubin","1"
"condemn","4"
"condens","2"
"condol","1"
"conduct","1"
"confer","1"
"confid","1"
"confin","2"
"confirm","1"
"conflict","3"
"conform","1"
"congeal","1"
"congeni","1"
"conjectur","1"
"connoisseurship","1"
"conquer","15"
"conqueror","9"
"conquest","5"
"conscienc","1"
"conscious","4"
"consecr","6"
"consent","3"
"consort","1"
"conspicu","2"
"constant","2"
"constel","2"
"consum","4"
"contact","1"
"contagion","1"
"contain","4"
"contemn","2"
"contempl","6"
"contend","2"
"contenti","1"
"contest","2"
"continu","1"
"contrari","1"
"contrast","1"
"contriv","1"
"control","5"
"conven","1"
"convent","3"
"convers","2"
"convert","1"
"convoy","1"
"convuls","5"
"conyng","1"
"cool","1"
"coop","1"
"cope","2"
"copyist","1"
"coquettish","1"
"core","2"
"corinth","1"
"corktre","1"
"corn","3"
"cornelia","1"
"corrector","1"
"corridor","1"
"corrod","1"
"corrupt","3"
"cors","3"
"cost","4"
"cot","1"
"couch","4"
"could","60"
"couldst","5"
"counsel","3"
"count","2"
"countless","2"
"countri","10"
"countrymen","3"
"courag","1"
"cours","3"
"courser","2"
"court","3"
"cove","1"
"cover","3"
"covert","2"
"cower","1"
"cradl","2"
"crag","10"
"craggi","1"
"cranni","1"
"crash","1"
"crave","2"
"creak","1"
"creat","5"
"creation","7"
"creativ","1"
"creator","2"
"creatur","1"
"creed","3"
"creep","1"
"crescent","4"
"crest","4"
"crew","4"
"cri","9"
"crib","1"
"crime","9"
"crimson","4"
"crisp","1"
"critic","1"
"croce","2"
"cromwel","1"
"crook","2"
"cross","9"
"croup","1"
"crow","1"
"crowd","13"
"crown","12"
"crownless","1"
"cruel","2"
"crumbl","2"
"cruscan","1"
"crush","10"
"crutch","1"
"crystal","2"
"cub","1"
"cumber","1"
"cup","1"
"curb","1"
"cure","3"
"curious","1"
"curl","3"
"current","2"
"curs","5"
"curst","5"
"custom","1"
"cut","2"
"cybel","1"
"cynic","3"
"cypress","3"
"cytherea","1"
"dacian","1"
"dagger","1"
"daili","3"
"dale","2"
"dame","5"
"damp","2"
"danc","12"
"dandolo","1"
"danger","5"
"dant","3"
"danub","2"
"daphn","1"
"dardan","1"
"dare","19"
"dark","37"
"darken","4"
"darkglanc","1"
"dart","9"
"darter","1"
"dash","7"
"dashest","1"
"date","2"
"daughter","10"
"daughtersdeign","1"
"dawn","4"
"day","60"
"dazzl","5"
"dead","29"
"deadlier","1"
"deadliest","1"
"deaf","1"
"deal","1"
"dealt","1"
"dear","19"
"dearer","2"
"dearth","1"
"death","21"
"deathb","1"
"deathless","2"
"deathshot","1"
"deathstruck","1"
"debt","1"
"decay","13"
"deceiv","2"
"deck","4"
"declin","4"
"decliv","1"
"decor","1"
"decre","4"
"deed","18"
"deem","38"
"deemt","1"
"deep","41"
"deepen","4"
"deeper","2"
"deepli","2"
"defac","5"
"defenc","2"
"defenceless","1"
"defend","1"
"defer","1"
"defi","2"
"defianc","1"
"defil","2"
"defin","1"
"deform","1"
"degener","1"
"degrad","2"
"degre","2"
"deign","5"
"deigneth","1"
"deiti","1"
"delay","4"
"delhi","2"
"delic","3"
"delici","2"
"delight","14"
"deliri","1"
"dell","1"
"delphi","3"
"delug","1"
"delus","1"
"demand","1"
"demi","1"
"demon","4"
"den","4"
"deni","4"
"denizen","2"
"denot","1"
"depart","6"
"deplor","2"
"depopul","1"
"depos","1"
"depth","6"
"deriv","1"
"descend","5"
"descri","1"
"describ","1"
"desert","10"
"deserv","1"
"design","1"
"desir","6"
"desol","17"
"despair","8"
"desper","2"
"despis","6"
"despit","2"
"despoil","2"
"despond","1"
"despot","6"
"destini","3"
"destroy","7"
"destruct","8"
"detest","2"
"develop","4"
"devic","1"
"devis","1"
"devot","8"
"devour","1"
"dew","3"
"dewi","2"
"diadem","1"
"dian","2"
"diana","1"
"dictatori","1"
"did","56"
"didst","12"
"die","30"
"differ","3"
"diffus","2"
"dig","1"
"dignifi","1"
"digniti","4"
"dilat","3"
"dim","9"
"dimpl","1"
"din","4"
"dingi","1"
"dint","1"
"diogen","1"
"dire","1"
"dirg","1"
"dirt","1"
"disabl","1"
"disappear","1"
"disappoint","1"
"disarm","1"
"discern","1"
"disclos","3"
"discolour","1"
"disconsol","1"
"discont","1"
"discrown","1"
"disdain","6"
"diseas","5"
"disfigur","1"
"disgrac","2"
"disguis","3"
"disgust","2"
"dismal","1"
"dismay","1"
"dispers","1"
"displac","2"
"display","6"
"displeas","2"
"disport","1"
"dissembl","1"
"distaff","1"
"distanc","4"
"distant","10"
"distemp","1"
"distinct","3"
"distinguish","1"
"distinguisheth","1"
"distort","1"
"distract","4"
"distress","5"
"ditti","1"
"divers","1"
"divest","2"
"divid","4"
"divin","12"
"divinest","1"
"do","17"
"docil","1"
"doctrin","1"
"dodona","1"
"doe","2"
"dog","3"
"doge","1"
"dogeless","1"
"dolphin","1"
"dome","17"
"domest","2"
"dominion","4"
"don","1"
"donald","1"
"done","14"
"doom","17"
"door","1"
"doria","1"
"dost","14"
"dotard","1"
"dote","2"
"doth","21"
"doubl","4"
"doubli","6"
"doubt","7"
"dove","1"
"dower","4"
"down","22"
"downward","3"
"drachenfel","1"
"dracon","1"
"drag","1"
"dragon","2"
"drain","1"
"draught","2"
"draw","5"
"drawn","1"
"dread","19"
"dream","23"
"dreamer","1"
"drear","2"
"dreari","1"
"dreg","1"
"drest","1"
"drew","4"
"dri","5"
"drill","1"
"drink","3"
"drip","1"
"drive","2"
"driven","3"
"droop","4"
"drop","7"
"dross","1"
"drove","2"
"drowsi","1"
"drug","2"
"drum","3"
"drunk","3"
"dubious","3"
"ducal","1"
"due","1"
"duenna","1"
"dug","1"
"duke","2"
"dull","10"
"dullest","1"
"dumb","2"
"dun","2"
"dungeon","2"
"duranc","1"
"dusk","1"
"duski","3"
"dust","29"
"duti","1"
"dwarfish","1"
"dwell","29"
"dweller","1"
"dwelt","12"
"dwindl","1"
"dy","2"
"dye","4"
"each","47"
"eager","3"
"eagl","7"
"ear","10"
"earli","11"
"earlier","1"
"earliest","5"
"earn","1"
"earth","74"
"earthquak","4"
"eas","1"
"ease","1"
"easi","2"
"east","1"
"eat","3"
"eb","3"
"ebb","1"
"echo","13"
"eddi","2"
"eden","1"
"edg","3"
"edict","1"
"edific","1"
"ee","2"
"een","2"
"eer","3"
"effac","1"
"effort","1"
"egeria","2"
"egress","1"
"egypt","4"
"ehrenbreitstein","1"
"el","1"
"elat","2"
"eld","3"
"electr","2"
"eleg","1"
"element","8"
"eloqu","6"
"els","2"
"elysian","1"
"elysium","2"
"eman","1"
"emblem","1"
"embodi","1"
"embrac","2"
"embroid","1"
"embroideri","1"
"emerald","1"
"emperor","3"
"empir","13"
"empress","1"
"empris","1"
"empti","2"
"emul","1"
"en","3"
"enamour","2"
"encag","1"
"enchain","1"
"enchant","3"
"enchantment","1"
"encount","1"
"encrust","1"
"end","7"
"endear","4"
"endless","3"
"endow","1"
"ends","1"
"endu","2"
"endur","7"
"endure","1"
"enemi","3"
"energi","1"
"enforc","2"
"engag","1"
"engin","1"
"england","2"
"enjoy","2"
"enlarg","1"
"enlighten","2"
"enmiti","1"
"ennobl","1"
"enorm","2"
"enormous","1"
"enough","14"
"enshrin","1"
"enslav","4"
"entail","1"
"enter","1"
"entere","1"
"entereth","1"
"enthral","4"
"entrail","1"
"entrust","2"
"entwin","1"
"envenom","2"
"envi","7"
"envious","2"
"epaminonda","1"
"ephesian","1"
"epic","1"
"epirus","1"
"epitaph","1"
"er","30"
"erarch","1"
"eras","1"
"ere","24"
"erect","2"
"eremit","2"
"erlook","2"
"eros","1"
"err","3"
"escap","1"
"espi","1"
"espous","1"
"essay","3"
"essenc","2"
"essential","1"
"estat","2"
"este","1"
"esteem","1"
"etern","12"
"eternal","1"
"eterniti","4"
"ether","2"
"etrurian","1"
"etruscan","1"
"eunuch","1"
"eureka","1"
"europ","6"
"eurota","1"
"euxin","1"
"evan","1"
"eve","8"
"even","44"
"event","1"
"ever","51"
"everblaz","1"
"evergreen","1"
"everi","21"
"evermor","2"
"evil","5"
"exalt","1"
"exampl","1"
"except","1"
"exchang","1"
"excit","1"
"execr","1"
"exhal","1"
"exhaust","1"
"exhaustless","2"
"exil","5"
"exist","5"
"existenc","2"
"existent","1"
"exorc","1"
"expand","7"
"expans","1"
"expect","1"
"expel","1"
"experi","1"
"expir","6"
"explor","1"
"express","5"
"extend","8"
"extinguish","1"
"extreme","1"
"exult","2"
"eye","85"
"eyeless","1"
"eyelid","1"
"fabl","6"
"fabric","1"
"face","18"
"faction","3"
"faculti","1"
"fade","7"
"fail","10"
"fain","5"
"faint","3"
"fair","44"
"fairest","1"
"fairi","7"
"faith","2"
"falchion","1"
"falcon","3"
"fall","37"
"fallen","3"
"fallth","1"
"fals","7"
"falsest","1"
"fame","29"
"familiar","2"
"famish","1"
"famous","1"
"fan","2"
"fanci","5"
"fandango","1"
"fane","3"
"fang","1"
"fantast","2"
"far","50"
"fardel","1"
"fare","3"
"farewel","8"
"farm","1"
"farther","1"
"fascin","1"
"fast","7"
"fatal","9"
"fate","22"
"father","11"
"fathomless","1"
"fault","4"
"favour","3"
"favourit","4"
"fear","15"
"fearless","1"
"feast","5"
"feat","2"
"featur","2"
"fed","2"
"feebl","5"
"feebler","1"
"feeblest","1"
"feebli","1"
"feed","6"
"feel","46"
"feer","2"
"feet","8"
"feign","4"
"fell","9"
"fellest","1"
"fellow","5"
"fellown","1"
"felt","18"
"femal","6"
"fenc","2"
"fern","1"
"ferney","1"
"ferrara","1"
"fertil","4"
"fertilis","1"
"fervent","1"
"festal","1"
"festiv","2"
"fetter","3"
"feud","5"
"feudal","1"
"fever","4"
"few","17"
"fickl","2"
"fiction","2"
"field","16"
"fiend","2"
"fierc","11"
"fiercer","1"
"fiercest","1"
"fieri","5"
"fierier","1"
"fifth","1"
"fight","11"
"file","4"
"filial","1"
"fill","16"
"filthili","1"
"find","21"
"finger","4"
"finni","1"
"fir","1"
"fire","20"
"firm","7"
"first","22"
"fit","14"
"fittest","1"
"fix","11"
"flag","1"
"flake","1"
"flame","15"
"flank","1"
"flap","1"
"flash","14"
"flatter","5"
"flatteri","1"
"flaunt","2"
"fled","5"
"flee","10"
"fleec","1"
"fleesh","1"
"fleet","6"
"fleetest","1"
"flesh","1"
"flew","4"
"fli","21"
"flicker","1"
"flight","5"
"fling","6"
"flit","2"
"float","6"
"flock","5"
"flood","2"
"florenc","4"
"florentin","1"
"florid","1"
"flout","1"
"flow","18"
"flower","13"
"flung","3"
"flush","1"
"flutter","2"
"foam","12"
"foe","31"
"foeman","1"
"foemen","3"
"foil","4"
"fold","3"
"foliag","2"
"folk","1"
"folli","3"
"follow","10"
"fond","16"
"food","2"
"fool","8"
"fooleri","1"
"foolish","2"
"foolscap","1"
"foot","5"
"footstep","2"
"footstool","1"
"for","220"
"forbear","1"
"forbid","2"
"forbidden","1"
"forbod","1"
"forbor","3"
"forc","5"
"forego","2"
"foreign","7"
"foremost","1"
"forese","2"
"forest","11"
"forget","16"
"forgiv","3"
"forgiven","4"
"forgot","6"
"forgotten","4"
"fork","1"
"form","39"
"former","6"
"formest","1"
"forsak","4"
"forsook","1"
"fort","1"
"forth","27"
"fortress","3"
"fortun","7"
"forum","2"
"forward","1"
"foss","1"
"foster","1"
"fought","2"
"foul","3"
"found","18"
"foundat","3"
"founder","3"
"fount","4"
"fountain","7"
"four","4"
"fragil","1"
"fragment","3"
"fragranc","2"
"fragrant","1"
"frail","4"
"frailti","2"
"frame","7"
"franc","5"
"frank","4"
"fraught","1"
"fray","3"
"free","25"
"freeborn","3"
"freed","2"
"freedom","18"
"freeth","1"
"french","1"
"frenzi","5"
"frequent","2"
"freresillsort","1"
"fresco","1"
"fresh","18"
"freshen","1"
"fresher","2"
"fret","2"
"fri","1"
"friend","22"
"friendless","1"
"friendship","3"
"frigat","1"
"friuli","1"
"fro","2"
"frolic","1"
"from","237"
"front","3"
"froward","1"
"frown","5"
"frugal","1"
"fruit","13"
"fruitless","2"
"ful","3"
"full","17"
"funer","1"
"furi","2"
"furious","1"
"furnish","2"
"furrow","3"
"further","4"
"futur","7"
"fytt","1"
"gaili","1"
"gain","6"
"gainsay","1"
"gainst","10"
"gale","10"
"galileo","1"
"gall","2"
"gallant","8"
"galleri","3"
"galley","1"
"gallic","2"
"game","2"
"gamesom","1"
"gap","2"
"gape","5"
"garb","1"
"garden","1"
"garland","4"
"garment","5"
"garnish","1"
"gash","1"
"gasp","4"
"gate","4"
"gather","15"
"gaudi","2"
"gaul","7"
"gave","7"
"gay","8"
"gaze","34"
"gazer","1"
"gem","3"
"general","1"
"generat","1"
"generous","2"
"genial","2"
"genius","5"
"gentl","21"
"gentlest","2"
"gestur","1"
"gewgaw","1"
"ghast","3"
"ghost","2"
"giant","8"
"giaour","3"
"gibe","1"
"giddi","1"
"gift","5"
"gig","1"
"gigant","2"
"gild","5"
"gird","1"
"girdl","2"
"girl","3"
"girt","4"
"give","10"
"given","7"
"glacier","2"
"glad","8"
"gladden","1"
"glade","1"
"gladiat","2"
"glaiv","2"
"glanc","8"
"glare","6"
"glass","6"
"glassi","5"
"gleam","4"
"glean","1"
"glee","3"
"glen","7"
"glide","6"
"glimmer","1"
"glisten","2"
"glitter","6"
"gloat","1"
"globe","2"
"gloom","8"
"gloomi","1"
"glori","30"
"glorifi","1"
"glorious","16"
"glow","21"
"glut","1"
"gnash","1"
"go","12"
"goal","4"
"goat","1"
"goblet","1"
"god","30"
"goddess","6"
"godlik","1"
"godoy","1"
"goe","1"
"goest","1"
"gold","6"
"golden","3"
"gondoli","1"
"gone","12"
"good","15"
"gore","5"
"gorefac","1"
"gorgeous","1"
"gorgon","1"
"gori","1"
"got","2"
"goth","4"
"gothic","2"
"govern","1"
"grace","5"
"gradual","2"
"graduat","1"
"grand","2"
"grande","1"
"grandeur","3"
"granit","2"
"grasp","3"
"grass","4"
"grasshopp","1"
"grassi","2"
"grate","1"
"gratitud","1"
"grave","21"
"graven","1"
"gray","1"
"graze","1"
"great","22"
"greatest","3"
"grecian","3"
"greec","12"
"greek","7"
"green","15"
"greenest","1"
"greensward","1"
"greet","9"
"grew","5"
"grey","11"
"grief","15"
"griev","6"
"grievanc","1"
"gripe","1"
"groan","5"
"grot","1"
"ground","17"
"group","2"
"grove","6"
"grow","18"
"grown","10"
"growth","5"
"grudg","1"
"guadiana","1"
"guard","7"
"guardian","1"
"guerdon","1"
"guess","1"
"guest","7"
"guid","4"
"guidanc","1"
"guileless","1"
"guilt","1"
"guis","3"
"guitar","1"
"gulf","5"
"gull","1"
"gulp","1"
"gum","1"
"gun","3"
"gush","3"
"habit","1"
"habitu","1"
"hackney","1"
"had","83"
"hade","2"
"hadrian","1"
"hadst","4"
"hafiz","1"
"hail","9"
"hair","3"
"half","13"
"hall","14"
"hallow","8"
"halo","2"
"halt","1"
"hamlet","2"
"hampstead","1"
"hand","50"
"hang","4"
"hapless","1"
"hapli","3"
"happi","12"
"happier","7"
"happiest","1"
"happili","1"
"hard","7"
"hardihood","1"
"harem","2"
"hark","8"
"harlot","1"
"harm","1"
"harmless","4"
"harmodius","1"
"harmoni","4"
"harmonis","2"
"harold","27"
"harp","3"
"harpi","1"
"harrow","1"
"harsh","1"
"harvest","1"
"has","15"
"hast","8"
"hasti","1"
"hate","16"
"hath","71"
"hatr","1"
"haughti","2"
"haughtiest","1"
"haul","1"
"haunt","7"
"have","123"
"haven","1"
"havoc","2"
"he","232"
"head","14"
"headland","1"
"headlong","1"
"heal","4"
"healer","1"
"health","2"
"heap","6"
"hear","15"
"heard","14"
"hearer","1"
"heart","82"
"hearth","3"
"heartless","1"
"heartsto","1"
