Word,Frequency,Quote,Location ,Latitude,Longitude
choir,1,See round thy giant base a brighter choir,Greece,39.07365399,21.82533987
din,4,But from the chambers came the mingling din ,Greece,39.07365399,21.82533987
echo,13, Seem to re echo all they mourn in vain ,Greece,39.07365399,21.82533987
groan,5, Each hath its pang  but feeble sufferers groan,Greece,39.07365399,21.82533987
hear,15, Patience and ye shall hear what he beheld,Greece,39.07365399,21.82533987
heard,14,  The song is heard the rosy garland worn,Greece,39.07365399,21.82533987
heard,14, Half whispering there the Greek is heard to prate ,Greece,39.07365399,21.82533987
knell,2,Its knell in princely ears  till the overstrung,Greece,39.07365399,21.82533987
laughter,2, How do they loathe the laughter idly loud ,Greece,39.07365399,21.82533987
loud,15, Of the loud hills shakes with its mountain mirth ,Greece,39.07365399,21.82533987
loud,15, ROUND him are icy rocks  and loudly blow,Greece,39.07365399,21.82533987
lyre,5,  If life eternal may await the lyre ,Greece,39.07365399,21.82533987
music,11,Oft Music changed  but never ceased her tone,Greece,39.07365399,21.82533987
oh,27,Oh  who that gallant spirit shall resume ,Greece,39.07365399,21.82533987
proclaim,3,Proclaim thee Nature varied favourite now ,Greece,39.07365399,21.82533987
revelri,2,And viewed  but not displeased  the revelrie ,Greece,39.07365399,21.82533987
say,9,Is this too much  Stern critic say not so,Greece,39.07365399,21.82533987
shrill,3,Strains his shrill pipe  as good or ill betides ,Greece,39.07365399,21.82533987
sigh,26,Yet these proud pillars claim no passing sigh ,Greece,39.07365399,21.82533987
sigh,26,And left without a sigh the land of war and crimes ,Greece,39.07365399,21.82533987
sigh,26,Now lads on shore may sigh  and maids believe ,Greece,39.07365399,21.82533987
sigh,26,  Sigh forth one wish that such had been his lot ,Greece,39.07365399,21.82533987
sigh,26, The bondsman peace  who sighs for all he lost ,Greece ,39.07365399,21.82533987
silenc,8,Sighs in the gale keeps silence in the cave,Greece,39.07365399,21.82533987
silenc,8,But Silence spreads the couch of ever welcome rest ,Greece,39.07365399,21.82533987
silent,11, Silent and feared by all   not oft he talks,Greece,39.07365399,21.82533987
soft,21,No more beneath soft Eve consenting star,Greece,39.07365399,21.82533987
soft,21,Nurst in the glowing lap of soft desire,Greece,39.07365399,21.82533987
song,22,Hail the bright clime of battle and of song ,Greece,39.07365399,21.82533987
sound,21, Hark  from the mosque the nightly solemn sound ,Greece,39.07365399,21.82533987
sound,21,A long  low distant murmur of dread sound ,Greece,39.07365399,21.82533987
speak,9,Well didst thou speak  Athena wisest son ,Greece,39.07365399,21.82533987
speechless,2,Glowing  and circumfused in speechless love,Greece,39.07365399,21.82533987
thunder,16, Is of the tree no bolt of thunder cleaves ,Greece,39.07365399,21.82533987
trumpet,2,Thy trumpet voice  though broken now and dying ,Greece,39.07365399,21.82533987
unquiet,1,Sophists  Bards  Statesmen  all unquiet things,Greece,39.07365399,21.82533987
voice,20,To hear each voice we feared to hear no more ,Greece,39.07365399,21.82533987
voice,20,But crimes that scorn the tender voice of ruth ,Greece,39.07365399,21.82533987
voice,20, Alas for Tully  voice  and Virgil  lay ,Greece,39.07365399,21.82533987
voice,20,Or raised the venal voice of baser prostitutes ,Greece,39.07365399,21.82533987
whisper,6,Half whispering there the Greek is heard to prate ,Greece,39.07365399,21.82533987
whisper,6,As winds come whispering lightly from the west ,Greece,39.07365399,21.82533987
loud,15, Loud was the lightsome tumult on the shore ,Turkey ,39.26792094,35.43936383
oh,27,Oh  who is more brave than a dark Suliote,Turkey,39.26792094,35.43936383
sang,2,While thus in concert they this lay half sang  half screamed ,Turkey ,39.26792094,35.43936383
scream,1,While thus in concert they this lay half sang  half screamed ,Turkey ,39.26792094,35.43936383
sigh,26, For foreign arms and aid they fondly sigh ,Turkey,39.26792094,35.43936383
sigh,26, Without a sigh he left to cross the brine,Paynim (Muslim),39.26792094,35.43936383
silent,11,He passed the sacred harem silent tower,Turkey,39.26792094,35.43936383
sound,21,While the deep war drum sound announced the close of day,Turkey,39.26792094,35.43936383
speak,9, The bearded Turk  that rarely deigns to speak ,Turkey,39.26792094,35.43936383
tambourgi,3,Tambourgi  thy larum gives promise of war ,Turkey,39.26792094,35.43936383
tambourgi,3,Tambourgi  Tambourgi  thy larum afar,Turkey,39.26792094,35.43936383
tambourgi,3,Tambourgi  Tambourgi  thy larum afar,Turkey ,39.26792094,35.43936383
hear,15, To hear each voice we feared to hear no more ,Acheron ,39.32688632,20.6090676
hear,15, To hear each voice we feared to hear no more ,Acheron ,39.32688632,20.6090676
proclaim,3, Pursue what chance or fate proclaimeth best ,Acheron ,39.32688632,20.6090676
echo,13, What valley echoed the response of Jove ,Dodona  ,39.50180297,20.75958119
heard,14,He heard the busy hum of warrior men,Tomerit  (Dodona ),39.50180297,20.75958119
hum,4,He heard the busy hum of warrior men,Tomerit (Dodona ),39.50180297,20.75958119
oh,27,Oh  where  Dodona  is thine aged grove ,Dodona  ,39.50180297,20.75958119
proclaimeth,2,Where all around proclaimed his high estate ,Tepalen  (Dondona),39.50180297,20.75958119
thunder,16, What trace remaineth of the Thunderer shrine ,Dodona  ,39.50180297,20.75958119
oh,27,The plain is far beneath oh  let him seize,Monastic Zitza,39.75511074,20.64810682
sound,21, Beneath  the distant torrent rushing sound,Mount Zitza,39.75511074,20.64810682
call,19, Or call with truth one span of earth their own,Talavera plain,39.96613529,-4.814142489
echo,13, The hills with Latian echoes  I abhorred,Acroceraunian mountains,40.28502984,19.4494845
lyric,2,Not NOW in snow  which asks the lyric Roman  aid,Acroceraunian mountains,40.28502984,19.4494845
lyric,2, To understand  not feel  thy lyric flow ,Acroceraunian mountains,40.28502984,19.4494845
word,18,The drilled dull lesson  forced down word by word,Acroceraunian mountains,40.28502984,19.4494845
word,18,The drilled dull lesson  forced down word by word,Acroceraunian mountains,40.28502984,19.4494845
ah,12,Ah Spain how sad will be thy reckoning day,Spain,40.39360132,-3.721243547
appeal,2,Spain realms appear whereon her shepherds tend,Spain,40.39360132,-3.721243547
appeal,2,Their doom nor heed the suppliant appeal,Spain,40.39360132,-3.721243547
applaud,1,  I strike my strain far distant to applaud,Spain,40.39360132,-3.721243547
ask,8,And dost thou ask what secret woe,Spain,40.39360132,-3.721243547
ask,8,What is that worst  Nay do not ask,Spain,40.39360132,-3.721243547
beat,5,And near  the beat of the alarming drum,Spain,40.39360132,-3.721243547
bid,10, Bid man be valiant ere he merit such,Spain,40.39360132,-3.721243547
bid,10,That bids me loathe my present state,Spain,40.39360132,-3.721243547
boast,11, And mix unbleeding with the boasted slain,Spain,40.39360132,-3.721243547
call,19,  When Cava traitorsire first called the band,Spain,40.39360132,-3.721243547
call,19, In every peal she callsAwake arise,Spain,40.39360132,-3.721243547
chant,2,No as he speeds he chants Viva el Rey,Spain,40.39360132,-3.721243547
clarion,2,Thrice sounds the clarion lo the signal fall,Spain,40.39360132,-3.721243547
cri[es],4, Lo Chivalry your ancient goddess cries,Spain,40.39360132,-3.721243547
cri[es],4, Slowly he falls amidst triumphant cries,Spain,40.39360132,-3.721243547
Ditty,1,  Teems not each ditty with the glorious tale,Spain,40.39360132,-3.721243547
groan,5,Without a groan without a struggle dies,Spain,40.39360132,-3.721243547
hear,15, Ye who shall marvel when you hear her tale,Spain,40.39360132,-3.721243547
heard,14, Heard her light lively tones in lady bower,Spain,40.39360132,-3.721243547
loud,15,Dart follows dart lance lance loud bellowings speak his woes,Spain,40.39360132,-3.721243547
loud,15,   Sung the loud song and dared the deed of war,Spain,40.39360132,-3.721243547
music,11,Her caresses shall lull me  her music shall soothe,Spain,40.39360132,-3.721243547
oh,27,Oh lovely Spain renowned romantic land,Spain,40.39360132,-3.721243547
oh,27,Oh had you known her in her softer hour,Spain,40.39360132,-3.721243547
oh,27,Oh many a time and oft had Harold loved,Spain,40.39360132,-3.721243547
say,9,Say is her voice more feeble than of yore,Spain,40.39360132,-3.721243547
sigh,26, Sighs in the gale keeps silence in the cave,Spain,40.39360132,-3.721243547
soft,21,In softness as in firmness far above,Spain,40.39360132,-3.721243547
soft,21,Denotes how soft that chin which bears his touch,Spain,40.39360132,-3.721243547
soft,21,How fair how young how soft soever he seem,Spain,40.39360132,-3.721243547
soft,21,How softly on the Spanish shore she plays ,Spain,40.39360132,-3.721243547
softer,2,h had you known her in her softer hour,Spain,40.39360132,-3.721243547
song,22, And checks his song to execrate Godoy,Spain,40.39360132,-3.721243547
song,22, Sung the loud song and dared the deed of war,Spain,40.39360132,-3.721243547
song,22, And checks his song to execrate Godoy,Spain,40.39360132,-3.721243547
speak,9,And speaks in thunder through yon engine roar,Spain,40.39360132,-3.721243547
speak,9,Dart follows dart lance lance loud bellowings speak his woes,Spain,40.39360132,-3.721243547
speak,9,And speaks in thunder through yon engine roar,Spain,40.39360132,-3.721243547
thunder,16,And speaks in thunder through yon engine roar,Spain,40.39360132,-3.721243547
thunder,16,Once more through all he bursts his thundering way,Spain,40.39360132,-3.721243547
voice,20, Say is her voice more feeble than of yore,Spain,40.39360132,-3.721243547
bade,5, And where Alfonso bade his poet dwell ,Tasso  ,40.71018623,24.64697044
bid,10,Thou formest in his fortunes bids us think,Tasso  ,40.71018623,24.64697044
ask,8,I ask not the pleasure that riches supply ,Macedonia,40.81688055,22.85236882
lyre,5,Let her bring from her chamber the many toned lyre ,Macedonia,40.81688055,22.85236882
sing,9,And sing us a song on the fall of her sire ,Macedonia ,40.81688055,22.85236882
echo,13, And timely echoed back the measured oar,Istanbul,41.26780164,28.74874907
heard,14,Here woman voice is never heard   apart,Istanbul,41.26780164,28.74874907
heard,14, Nor oft I ve seen such sight  nor heard such song,Istanbul,41.26780164,28.74874907
loud,15, How do they loathe the laughter idly loud ,Istanbul,41.26780164,28.74874907
minstrel,4,Gay were her minstrels once  for free her throng ,Istanbul,41.26780164,28.74874907
oh,27,Oh Love  young Love  bound in thy rosy band ,Istanbul,41.26780164,28.74874907
oh,27,  Oh for one hour of blind old Dandolo ,Istanbul  ,41.26780164,28.74874907
sing,9, So sings the Teian  and he sings in sooth ,Teian (Istanbul),41.26780164,28.74874907
sing,9, So sings the Teian  and he sings in sooth ,Teian (Istanbul),41.26780164,28.74874907
soft,21,For many a joy could he from night soft presence glean ,Istanbul,41.26780164,28.74874907
song,22,  Nor oft I ve seen such sight  nor heard such song ,Istanbul,41.26780164,28.74874907
oh,27,And there oh  sweet and sacred be the name  ,Cannae ,41.28631484,16.14935131
shriek,4,The shrieks of the conquered  the conqueror yell ,Previsa ,41.31948469,19.78803146
address,1,It came to pass  that when he did address,Albania,41.38698919,20.00107587
ah,12,Ah me in sooth he was a shameless wight,Albania,41.38698919,20.00107587
ah,12,Ah happy she to cape from him whose kiss,Albania,41.38698919,20.00107587
ah,12,Ah me in sooth he was a shameless wight,Albania,41.38698919,20.00107587
bade,5,And bade to Christian tongues a long adieu ,Albania,41.38698919,20.00107587
bid,10,   When Gratitude or Valour bids them bleed ,Albania,41.38698919,20.00107587
command,5,To greet Albania chief  whose dread command,Albania,41.38698919,20.00107587
ear,2, And vexed with mirth the drowsy ear of Night,Albania,41.38698919,20.00107587
echo,13, And ofttimes through the area echoing door ,Albania,41.38698919,20.00107587
heard,14,ave heard  and heard  too  have her Saxon foes ,Albania,41.38698919,20.00107587
heard,14,ave heard  and heard  too  have her Saxon foes ,Albania,41.38698919,20.00107587
heard,14,Have heard  and heard  too  have her Saxon foes,Albania,41.38698919,20.00107587
heard,14,Have heard  and heard  too  have her Saxon foes,Albania,41.38698919,20.00107587
nois,1,Of sated Grandeur from the city noise ,Albania,41.38698919,20.00107587
oh,27, Oh  she is fairest in her features wild ,Albania,41.38698919,20.00107587
pipe,3,Their mountain pipe  so fill the mountaineers,Albania,41.38698919,20.00107587
rhyme,1,Nor florid prose nor honeyed lines of rhyme,Albania,41.38698919,20.00107587
shrill,3,Savage and shrill   But with the breath which fills,Albania,41.38698919,20.00107587
soft,21,  And soft voluptuous couches breathed repose,Albania,41.38698919,20.00107587
voice,20,Here woman voice is never heard   apart,Albania,41.38698919,20.00107587
voice,20,The winds lift up their voices   I depart ,Albania,41.38698919,20.00107587
whisper,6,Or whispering  with white lips  The foe   They come  they come  ,Albania,41.38698919,20.00107587
sigh,26,Lingering like me  perchance  to gaze  and sigh  Alas  ,Colonna cliff ,41.83254942,12.7523229
aloud,2,Nor coined my cheek to smiles  nor cried aloud,Italy,41.87217438,12.56772129
bard,13,The Bard of Prose  creative spirit  he,Italy,41.87217438,12.56772129
oh,27, Oh God  that thou wert in thy nakedness,Italy,41.87217438,12.56772129
sigh,26,Nor claim a passing sigh  because it told for WHOM ,Italy,41.87217438,12.56772129
song,22,That music in itself  whose sounds are song ,Italy,41.87217438,12.56772129
sound,21,   That music in itself  whose sounds are song ,Italy,41.87217438,12.56772129
call,19,In Saxon times  which we are wont to call,Coliseum,41.89095566,12.49325884
heard,14, He heard it  but he heeded not his eyes,Coliseum,41.89095566,12.49325884
loud,15,In murmured pity  or loud roared applause ,Coliseum ,41.89095566,12.49325884
shout,4, The thronged arena shakes with shouts for more,Coliseum,41.89095566,12.49325884
shout,4,The crowd loud shout and ladies lovely glance,Coliseum,41.89095566,12.49325884
silent,11,Gapes round the silent circle peopled walls,Coliseum,41.89095566,12.49325884
sound,21,My voice sounds much and fall the stars  faint rays,Coliseum ,41.89095566,12.49325884
speak,9, Hues which have words  and speak to ye of heaven ,Coliseum ,41.89095566,12.49325884
voice,20,My voice sounds much and fall the stars  faint rays,Coliseum,41.89095566,12.49325884
word,18,Hues which have words  and speak to ye of heaven ,Coliseum ,41.89095566,12.49325884
ask,8,Heart  soul could seek  tongue ask Away with words  draw near,Palatine,41.8934715,12.48815082
music,11, Shall henceforth be my music  and the night,Palatine ,41.8934715,12.48815082
sound,21,  The sound shall temper with the owlet  cry ,Palatine ,41.8934715,12.48815082
word,18,Heart  soul could seek  tongue ask Away with words  draw near ,Palatine ,41.8934715,12.48815082
accent,2,The Forum  where the immortal accents glow ,Rome,41.90710605,12.4967068
applaus,1,In murmured pity  or loud roared applause ,Rome,41.90710605,12.4967068
bard,13,The Sabine farm was tilled  the weary bard  delight ,Rome,41.90710605,12.4967068
beat,5, Egeria  thy all heavenly bosom beating,Rome,41.90710605,12.4967068
buzz,2,And here  where buzzing nations choked the ways ,Rome,41.90710605,12.4967068
buzz,2,And here the buzz of eager nations ran,Rome,41.90710605,12.4967068
din,4,Thou who beheldest  mid the assassins  din ,Rome,41.90710605,12.4967068
echo,13,And galleries  where my steps seem echoes strangely loud ,Rome,41.90710605,12.4967068
groan,5,Is changed and solemn  like the cloudy groan,Rome,41.90710605,12.4967068
hear,15,The cypress  hear the owl  and plod your way,Rome,41.90710605,12.4967068
hear,15,As I now hear them  in the fading light,Rome,41.90710605,12.4967068
laugh,8,Admire  exult despise laugh  weep for here,Rome,41.90710605,12.4967068
loud,15,Is changed and solemn  like the cloudy groan,Rome,41.90710605,12.4967068
loud,15,And galleries  where my steps seem echoes strangely loud ,Rome,41.90710605,12.4967068
music,11, With recollected music  though the tone,Rome,41.90710605,12.4967068
oh,27,er rushing wings Oh  she who was almighty hailed ,Rome,41.90710605,12.4967068
pipe,3, Or even the piping cry of lips that brook,Rome,41.90710605,12.4967068
say,9,And say   Here was  or is   where all is doubly night ,Rome,41.90710605,12.4967068
say,9,Even in the olden time  Rome  annals say ,Rome,41.90710605,12.4967068
shout,4,Ere ceased the inhuman shout which hailed the wretch who won ,Rome,41.90710605,12.4967068
sigh,26, Had sighed to many though he loved but one,Rome,41.90710605,12.4967068
silenc,8,A thousand years of silenced factions sleep ,Rome,41.90710605,12.4967068
sing,9,Of summer birds sing welcome as ye pass ,Rome,41.90710605,12.4967068
soft,21,The frailties of a heart so soft  yet bold,Rome,41.90710605,12.4967068
soft,21,To the soft side of the heart  or wisely bar,Rome,41.90710605,12.4967068
soft,21,Thou wert a beautiful thought  and softly bodied forth ,Rome,41.90710605,12.4967068
soft,21, Dance in the soft breeze in a fairy mass ,Rome,41.90710605,12.4967068
thunder,16, And thou  the thunder stricken nurse of Rome ,Rome,41.90710605,12.4967068
trebl,1,The trebly hundred triumphs  and the day,Rome,41.90710605,12.4967068
voiceless,2, Childless and crownless  in her voiceless woe ,Rome,41.90710605,12.4967068
yawn,2,And yawning forth a grave for those who lay,Rome,41.90710605,12.4967068
gasp,4,Enforces pang on pang  and stifles gasp on gasp ,Vatican  ,41.90723854,12.45304365
gasp,4,Enforces pang on pang  and stifles gasp on gasp ,Vatican  ,41.90723854,12.45304365
yawn,2,Through storm and darkness yawns the rending ground,Vatican,41.90723854,12.45304365
noiseless,1,This quiet sail is as a noiseless wing,Leman (Lake Geneva),42.57150815,-88.46007504
quiet,3,This quiet sail is as a noiseless wing,Leman (Lake Geneva),42.57150815,-88.46007504
